r_cm,r_mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.0312625250501002,0.312625250501002,0.3890394969151423,2.3568549067991045e+18,0.9326263451964678
0.03156312625250501,0.3156312625250501,0.3889016806770625,2.3535170418871747e+18,0.9313055253426057
0.03186372745490982,0.3186372745490982,0.38876231857248167,2.350145343135072e+18,0.9299713171674628
0.032164328657314625,0.3216432865731462,0.38862140334777356,2.3467397533785487e+18,0.9286236980506889
0.03246492985971944,0.3246492985971944,0.38847892764013914,2.3433002147535437e+18,0.927262645095012
0.032765531062124244,0.3276553106212424,0.38833488397616145,2.339826668690876e+18,0.9258881351241385
0.033066132264529056,0.3306613226452906,0.38818926477033106,2.336319055910861e+18,0.9245001446806229
0.03336673346693387,0.3336673346693387,0.3880420623235402,2.3327773164178294e+18,0.9230986500236991
0.033667334669338675,0.3366733466933868,0.3878932688215441,2.329201389494529e+18,0.9216836271270641
0.03396793587174349,0.3396793587174349,0.38774287633339033,2.325591213696437e+18,0.9202550516766288
0.03426853707414829,0.3426853707414829,0.38759087680981513,2.3219467268459914e+18,0.9188128990682342
0.034569138276553106,0.3456913827655311,0.3874372620816043,2.318267866026668e+18,0.9173571444053086
0.03486973947895791,0.3486973947895791,0.38728202385792043,2.3145545675770086e+18,0.9158877624965033
0.035170340681362725,0.3517034068136272,0.38712515372459344,2.310806767084497e+18,0.9144047278532702
0.03547094188376753,0.3547094188376753,0.38696664314237583,2.3070243993793725e+18,0.9129080146874139
0.03577154308617234,0.3577154308617234,0.386806483445157,2.3032073985282442e+18,0.9113975969085638
0.036072144288577156,0.36072144288577157,0.38664466583814433,2.2993556978277166e+18,0.9098734481216525
0.03637274549098196,0.3637274549098196,0.38648118139599946,2.2954692297977664e+18,0.908335541624295
0.036673346693386774,0.36673346693386777,0.3863160210609391,2.2915479261751165e+18,0.9067838504041662
0.03697394789579158,0.3697394789579158,0.38614917564079093,2.2875917179064033e+18,0.9052183471362976
0.03727454909819639,0.3727454909819639,0.38598063580700903,2.2836005351412618e+18,0.9036390041803409
0.0375751503006012,0.375751503006012,0.38581039209264534,2.2795743072252708e+18,0.9020457935777764
0.03787575150300601,0.3787575150300601,0.3856384348902779,2.275512962692796e+18,0.9004386870490805
0.03817635270541082,0.38176352705410815,0.38546475444989137,2.2714164292596485e+18,0.8988176559908215
0.03847695390781563,0.3847695390781563,0.38528934087671324,2.267284633815666e+18,0.8971826714727231
0.03877755511022044,0.3877755511022044,0.3851121841290003,2.2631175024171095e+18,0.8955337042346561
0.03907815631262525,0.39078156312625245,0.3849332740157778,2.2589149602789632e+18,0.8938707246835914
0.03937875751503006,0.3937875751503006,0.38475260019452695,2.2546769317670505e+18,0.89219370289048
0.039679358717434866,0.39679358717434865,0.3845701521688218,2.2504033403900396e+18,0.89050260858709
0.03997995991983968,0.3997995991983968,0.38438591928591354,2.246094108791293e+18,0.8887974111627808
0.040280561122244485,0.40280561122244485,0.38419989073425803,2.2417491587405112e+18,0.8870780796611971
0.0405811623246493,0.405811623246493,0.3840120555409924,2.2373684111253325e+18,0.8853445827769443
0.0408817635270541,0.40881763527054105,0.38382240256934996,2.232951785942663e+18,0.8835968888521579
0.041182364729458916,0.41182364729458915,0.38363092051601877,2.2284992022898934e+18,0.8818349658730281
0.04148296593186373,0.4148296593186373,0.38343759790844084,2.2240105783559764e+18,0.880058781466269
0.041783567134268534,0.41783567134268534,0.38324242310204715,2.2194858314122685e+18,0.8782683028954942
0.04208416833667335,0.42084168336673344,0.3830453842774319,2.2149248778032591e+18,0.8764634970575489
0.04238476953907815,0.42384769539078154,0.3828464694374605,2.210327632937098e+18,0.874644330478761
0.042685370741482966,0.42685370741482964,0.3826456664043102,2.2056940112759245e+18,0.8728107693111148
0.04298597194388777,0.4298597194388777,0.3824429628164444,2.2010239263260634e+18,0.8709627793283706
0.043286573146292584,0.43286573146292584,0.3822383461255136,2.1963172906279667e+18,0.8691003259220859
0.04358717434869739,0.4358717434869739,0.3820318035931859,2.191574015746003e+18,0.8672233740975732
0.0438877755511022,0.43887775551102204,0.38182332228790317,2.1867940122580526e+18,0.8653318884697847
0.044188376753507015,0.44188376753507014,0.3816128890815606,2.1819771897448873e+18,0.8634258332591079
0.04448897795591182,0.44488977955911824,0.3814004906461067,2.1771234567793254e+18,0.8615051722870758
0.044789579158316634,0.44789579158316634,0.38118611345006337,2.1722327209151918e+18,0.8595698689719969
0.04509018036072144,0.4509018036072144,0.38096974375496495,2.1673048886760998e+18,0.8576198863245171
0.04539078156312625,0.45390781563126253,0.3807513676117078,2.1623398655439206e+18,0.8556551869430568
0.04569138276553106,0.4569138276553106,0.3805309708568167,2.1573375559471224e+18,0.8536757330091957
0.04599198396793587,0.4599198396793587,0.38030853910861756,2.1522978632488046e+18,0.8516814862829393
0.046292585170340676,0.4629258517034068,0.3800840577633191,2.1472206897345224e+18,0.8496724080978998
0.04659318637274549,0.4659318637274549,0.37985751199099965,2.1421059365998907e+18,0.8476484593563915
0.0468937875751503,0.46893787575150303,0.37962888673149336,2.1369535039378742e+18,0.845609600524401
0.04719438877755511,0.4719438877755511,0.37939816669017845,2.1317632907258962e+18,0.8435557916264865
0.04749498997995992,0.47494989979959923,0.37916533633365884,2.126535194812624e+18,0.8414869922405482
0.047795591182364726,0.4779559118236473,0.3789303798853402,2.1212691129045153e+18,0.839403161492505
0.04809619238476954,0.48096192384769537,0.378693281320895,2.1159649405520801e+18,0.8373042580508578
0.048396793587174344,0.48396793587174347,0.3784540243636158,2.11062257213588e+18,0.8351902401211497
0.04869739478957916,0.48697394789579157,0.37821259247964906,2.1052419008522048e+18,0.8330610654402981
0.04899799599198396,0.4899799599198396,0.3779689688731092,2.0998228186984422e+18,0.830916691270805
0.049298597194388775,0.49298597194388777,0.3777231364810714,2.094365216458216e+18,0.8287570743948764
0.04959919839679359,0.49599198396793587,0.3774750779684327,2.088868983686124e+18,0.8265821711083833
