r_cm,r_mm,T_hev_z0.2mm,flux_raw_z0.2mm,flux_norm_z0.2mm,T_hev_z0.5mm,flux_raw_z0.5mm,flux_norm_z0.5mm,T_hev_z0.8mm,flux_raw_z0.8mm,flux_norm_z0.8mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.043126252505010024,0.4312625250501002,1.484190283169186,4.992480799923638e+20,0.9563171557570206,1.308324989908189,3.014536971415476e+20,0.8632106128944214,0.9605488375491511,8.758623749325991e+19,0.5257207265420274,0.0,0.0,0.0
0.04328657314629259,0.4328657314629259,1.4840510298422676,4.990607396675857e+20,0.9559583025661318,1.307896650836237,3.0105911322797756e+20,0.8620807245397559,0.9587009729812648,8.691420057495205e+19,0.5216869451276464,0.0,0.0,0.0
0.04344689378757515,0.4344689378757515,1.4839110081801314,4.9887241885187244e+20,0.9555975712302085,1.3074656039216654,3.006624260352464e+20,0.8609448134595078,0.9568311872285217,8.623813522897406e+19,0.5176289837966235,0.0,0.0,0.0
0.04360721442885772,0.4360721442885772,1.4837702147146556,4.9868311375026586e+20,0.9552349544799519,1.3070318319695722,3.002636268968879e+20,0.85980285483731,0.9549390603340021,8.555801475089272e+19,0.5135466822603743,0.0,0.0,0.0
0.043767535070140286,0.43767535070140284,1.4836286459500272,4.984928205404119e+20,0.9548704449935854,1.3065953176036502,2.998627070799114e+20,0.8586548236663029,0.953024159400863,8.487381200100993e+19,0.5094398776177143,0.0,0.0,0.0
0.04392785571142285,0.43927855711422853,1.4834862983625021,4.983015353723575e+20,0.9545040353964667,1.306156043263867,2.9945965778424916e+20,0.8575006947475526,0.9510860380452648,8.418549939202928e+19,0.5053084042808308,0.0,0.0,0.0
0.04408817635270541,0.4408817635270541,1.483343168400163,4.9810925436834565e+20,0.9541357182606942,1.305713991204103,2.990544701421948e+20,0.856340442688442,0.9491242358195991,8.349304887618614e+19,0.5011520938980327,0.0,0.0,0.0
0.04424849699398798,0.4424849699398798,1.483199252482675,4.979159736226105e+20,0.9537654861047151,1.3052691434897543,2.986471352178387e+20,0.8551740419010547,0.9471382776040593,8.279643193181636e+19,0.49697077527313177,0.0,0.0,0.0
0.04440881763527055,0.4440881763527055,1.483054547001039,4.977216892011703e+20,0.9533933313929285,1.3048214819952948,2.9823764400649424e+20,0.8540014666005316,0.9451276729644073,8.20956195493256e+19,0.49276427428122604,0.0,0.0,0.0
0.04456913827655311,0.4456913827655311,1.4829090483173404,4.9752639714161485e+20,0.9530192465352784,1.3043709884017953,2.97825987434118e+20,0.8528226908034112,0.9430919154736428,8.139058221652679e+19,0.48853241378069057,0.0,0.0,0.0
0.044729458917835675,0.44729458917835674,1.482762752764497,4.9733009345289604e+20,0.9526432238868527,1.3039176441944056,2.974121563567246e+20,0.8516376883259535,0.9410304819950964,8.068128990331086e+19,0.48427501352116636,0.0,0.0,0.0
0.04488977955911824,0.4488977955911824,1.482615656646003,4.9713277411511186e+20,0.9522652557474689,1.3034614306597903,2.969961415597929e+20,0.8504464327824399,0.9389428319242423,7.996771204560637e+19,0.47999189004728066,0.0,0.0,0.0
0.0450501002004008,0.450501002004008,1.4824677562356696,4.969344350792912e+20,0.9518853343612625,1.3030023288835242,2.965779337576664e+20,0.849248897583456,0.9368284063863309,7.92498175285891e+19,0.47568285659786574,0.0,0.0,0.0
0.04521042084168337,0.4521042084168337,1.4823190477773642,4.967350722671742e+20,0.9515034519162657,1.3025403197474434,2.961575235929469e+20,0.8480450559341556,0.9346866273866749,7.85275746690928e+19,0.47134772300038236,0.0,0.0,0.0
