time_ns,front_position (Marshak),front_position (gold loss),front_position (Be Loss)
0.21651651651651654,0.011051737431353416,0.011018785752525555,0.010611073985068515
0.21950950950950954,0.011226932394606499,0.01119297535606563,0.01077950357117436
0.22250250250250253,0.01140966618981967,0.01137475096284445,0.010956228150222375
0.22549549549549552,0.011595253265853036,0.01155932263816979,0.0111348501535434
0.22848848848848852,0.011781228868603957,0.011744285569117092,0.01131346910168846
0.2314814814814815,0.011936487653796398,0.011898456997960273,0.01146100881746968
0.2344744744744745,0.01207241661553056,0.012033020354014299,0.011588648895426023
0.2374674674674675,0.012230105797040357,0.012189526445485387,0.01173865719174629
0.2404604604604605,0.012404956366912844,0.01236339911124622,0.011906146723883057
0.24345345345345348,0.012589137308851764,0.012546414764125758,0.012083912150500574
0.24644644644644648,0.012777453518207617,0.012733569579241873,0.012264639521802153
0.24943943943943947,0.012967017300081716,0.012921963176516222,0.012446132687509088
0.25243243243243246,0.01311426354593727,0.013067897051789581,0.012584817495968901
0.25542542542542546,0.013234665856364037,0.013186933048880247,0.012695998590137269
0.25841841841841845,0.01338556907548933,0.013336426937791915,0.012838610176168424
0.26141141141141144,0.013561111941741134,0.013510735650930654,0.01300663898612746
0.26440440440440444,0.013750733107747878,0.013699169491890267,0.013189913108160832
