rho,u_tilda
1.53E-06,1.3145458
1.56E-06,1.3122649
1.58E-06,1.3101918
1.60E-06,1.3082759
1.64E-06,1.3049892
1.68E-06,1.30203
1.71E-06,1.2993135
1.74E-06,1.2967863
1.77E-06,1.2944169
1.80E-06,1.2921783
1.83E-06,1.2900506
1.85E-06,1.2880188
1.88E-06,1.2864426
1.90E-06,1.2849161
1.92E-06,1.2834348
1.94E-06,1.2819951
1.96E-06,1.2805937
1.97E-06,1.2792278
1.99E-06,1.2778948
2.01E-06,1.2765925
2.09E-06,1.2708803
2.17E-06,1.2656481
2.25E-06,1.2607935
2.32E-06,1.2562463
2.40E-06,1.2519605
2.47E-06,1.2478973
2.53E-06,1.2440273
2.60E-06,1.240327
2.80E-06,1.2300148
2.99E-06,1.2207363
3.17E-06,1.2122543
3.35E-06,1.2044109
3.61E-06,1.1942794
3.85E-06,1.1849959
4.09E-06,1.1764071
4.34E-06,1.1684009
4.81E-06,1.1539257
5.28E-06,1.1409803
5.75E-06,1.1292472
6.21E-06,1.1184998
6.94E-06,1.1034039
7.66E-06,1.0898876
8.38E-06,1.0776433
9.10E-06,1.0664435
1.05E-05,1.0477836
1.18E-05,1.0314619
1.32E-05,1.0169602
1.46E-05,1.0039032
1.67E-05,0.98563072
1.89E-05,0.9696296
2.11E-05,0.95540697
2.34E-05,0.94260094
2.74E-05,0.92237922
3.14E-05,0.90496351
3.55E-05,0.88968665
3.96E-05,0.87606926
4.56E-05,0.85857224
5.16E-05,0.84326324
5.77E-05,0.82966795
6.38E-05,0.81743669
7.53E-05,0.79759016
8.68E-05,0.78058634
9.84E-05,0.76573164
0.000110093,0.75253052
0.000128262,0.73469163
0.000146506,0.71923925
0.000164866,0.70562483
0.000183425,0.69344966
0.000215277,0.67527115
0.000247243,0.65962765
0.000279412,0.64591491
0.00031196,0.63369793
0.000358552,0.61832392
0.000405344,0.60484349
0.000452417,0.59285169
0.000499912,0.58204845
0.000589586,0.56429995
0.000679541,0.54909229
0.00077005,0.53580564
0.000861685,0.52399641
0.00099502,0.50894012
0.001128899,0.49579302
0.001263581,0.48413625
0.001399541,0.47366117
0.001645829,0.45713798
0.001892939,0.4429426
0.002141586,0.43051508
0.002393243,0.41945273
0.002787574,0.40433098
0.003183511,0.39122685
0.003581991,0.37967769
0.003984847,0.36934619
0.00466512,0.35414809
0.005348392,0.34103548
0.006036491,0.3295185
0.006733068,0.31924224
0.007707299,0.30658405
0.008687427,0.29543795
0.009675066,0.28548976
0.010672946,0.2765046
0.012599056,0.26143928
0.01453945,0.24852638
0.016500629,0.23724354
0.018495529,0.227216
0.021319058,0.2148286
0.02417596,0.20397357
0.02707269,0.19432437
0.030019628,0.18563869
0.036591753,0.16926966
0.043302045,0.15558308
0.050200606,0.14384941
0.057382699,0.13356716
0.06475804,0.12443228
0.072365274,0.11623144
0.080231673,0.10879883
0.088389042,0.10200653
0.096842614,0.095758897
0.10562348,0.089979244
0.11476679,0.084604984
0.12431242,0.07958474
0.13429686,0.074876692
0.14477058,0.070445243
0.15579357,0.06625993
0.16743642,0.062294524
0.17977897,0.058526466
0.19292044,0.054935768
0.20698227,0.051504516
0.22211365,0.048216507
0.2384979,0.04505698
0.25636784,0.042012188
0.27602397,0.039068889
0.29786035,0.036214066
0.32240341,0.033434602
0.35037543,0.030717178
0.38281214,0.028046597
0.4212546,0.025404942
0.45219457,0.023603526
0.48817585,0.021797452
0.53089579,0.019975452
0.58298208,0.018122481
0.61978987,0.017005378
0.66265262,0.015865174
0.71355675,0.014694134
0.7755322,0.013481931
0.82031018,0.012723346
0.87247741,0.011940579
0.93442541,0.01112772
1.0097712,0.010276979
1.0644459,0.009736884
1.1280758,0.00917578
1.2035103,0.008589132
1.295022,0.007971035
1.3617423,0.007573711
1.4392471,0.007159211
1.5309019,0.006724064
1.6417091,0.006263797
1.7234199,0.005962798
1.8182116,0.005647919
1.9301131,0.005316453
2.065077,0.00496494
2.1653357,0.004732435
2.28153,0.00448875
2.4185224,0.004231751
2.5834667,0.003958722
2.7066237,0.003776692
2.8492513,0.003585657
3.0172503,0.003383922
3.2192755,0.003169337
3.3706832,0.003025447
3.5459336,0.002874296
3.7522161,0.002714532
4.0000521,0.002544441
4.1863224,0.002429893
4.4018429,0.002309485
4.6554014,0.002182131
4.9598368,0.002046458
5.1891644,0.001954788
5.454437,0.00185838
5.766426,0.001756361
6.1408485,0.001647629
6.4234252,0.001573971
