rho,u_tilda
0.000502641,0.99999753
0.000502641,0.99999729
0.000502642,0.99999707
0.000502643,0.99999686
0.000502643,0.99999667
0.000502643,0.9999966
0.000502644,0.99999654
0.000502644,0.99999647
0.000502644,0.99999641
0.000502644,0.99999635
0.000502644,0.99999628
0.000502645,0.99999622
0.000502645,0.99999616
0.000502645,0.99999605
0.000502646,0.99999594
0.000502646,0.99999583
0.000502646,0.99999573
0.000502646,0.99999563
0.000502647,0.99999552
0.000502647,0.99999543
0.000502647,0.99999533
0.000502648,0.99999514
0.000502649,0.99999497
0.000502649,0.99999479
0.00050265,0.99999462
0.00050265,0.99999446
0.000502651,0.9999943
0.000502651,0.99999415
0.000502652,0.999994
0.000502653,0.99999361
0.000502654,0.99999324
0.000502655,0.99999289
0.000502656,0.99999256
0.000502657,0.99999224
0.000502658,0.99999194
0.000502659,0.99999165
0.00050266,0.99999136
0.000502661,0.9999909
0.000502663,0.99999046
0.000502664,0.99999004
0.000502665,0.99998964
0.000502666,0.99998925
0.000502667,0.99998888
0.000502669,0.99998851
0.00050267,0.99998816
0.000502672,0.99998747
0.000502674,0.99998682
0.000502676,0.9999862
0.000502678,0.99998561
0.000502679,0.99998503
0.000502681,0.99998448
0.000502683,0.99998395
0.000502684,0.99998344
0.000502687,0.99998251
0.00050269,0.99998164
0.000502693,0.9999808
0.000502695,0.99997999
0.000502697,0.99997922
0.0005027,0.99997848
0.000502702,0.99997776
0.000502704,0.99997706
0.000502718,0.99997269
0.000502729,0.99996893
0.00050274,0.99996559
0.000502749,0.99996253
0.000502758,0.9999597
0.000502766,0.99995706
0.000502774,0.99995458
0.000502781,0.99995222
0.000502784,0.99995118
0.000502788,0.99995016
0.000502791,0.99994916
0.000502794,0.99994818
0.000502797,0.99994722
0.0005028,0.99994628
0.000502803,0.99994535
0.000502805,0.99994444
0.000502811,0.99994253
0.000502817,0.99994068
0.000502823,0.99993889
0.000502828,0.99993715
0.000502833,0.99993545
0.000502838,0.9999338
0.000502843,0.99993219
0.000502848,0.99993062
0.000502857,0.99992778
0.000502865,0.99992506
0.000502874,0.99992242
0.000502882,0.99991988
0.000502889,0.99991741
0.000502897,0.99991501
0.000502904,0.99991268
0.000502911,0.99991041
0.000502943,0.99990022
0.000502971,0.99989097
0.000502998,0.99988246
0.000503022,0.99987451
0.000503046,0.99986704
0.000503068,0.99985997
0.000503088,0.99985323
0.000503108,0.9998468
0.000503119,0.99984326
0.00050313,0.99983981
0.000503141,0.99983643
0.000503151,0.99983311
0.000503161,0.99982986
0.000503171,0.99982667
0.000503181,0.99982354
0.00050319,0.99982047
0.000503212,0.9998135
0.000503233,0.99980679
0.000503253,0.9998003
0.000503272,0.99979401
0.000503291,0.99978792
0.00050331,0.99978199
0.000503328,0.99977622
0.000503345,0.99977059
0.000503375,0.99976099
0.000503404,0.99975175
0.000503431,0.99974285
0.000503458,0.99973425
0.000503484,0.99972592
0.000503509,0.99971783
0.000503533,0.99970997
0.000503557,0.99970231
0.000503617,0.99968318
0.000503673,0.99966515
0.000503726,0.99964803
0.000503777,0.99963171
0.000503825,0.99961608
0.000503872,0.99960106
0.000503917,0.99958658
0.00050396,0.9995726
0.00050402,0.99955327
0.000504078,0.99953474
0.000504133,0.99951691
0.000504187,0.99949972
0.000504238,0.99948311
0.000504289,0.999467
0.000504337,0.99945137
0.000504384,0.99943618
0.000504657,0.9993487
0.000504896,0.99927179
0.000505113,0.9992022
0.000505312,0.99913808
0.00050557,0.99905537
0.000505807,0.99897936
0.000506027,0.9989086
0.000506235,0.99884211
0.000506431,0.99877924
0.000506617,0.99871945
0.000506795,0.99866232
0.000506966,0.99860752
0.000507173,0.99854125
0.000507371,0.99847785
0.000507561,0.99841698
0.000507745,0.99835835
0.000507922,0.99830173
0.000508093,0.99824694
0.000508259,0.99819379
0.00050842,0.99814216
0.000508787,0.99802487
0.000509134,0.99791415
0.000509463,0.99780897
0.000509778,0.99770857
0.000510079,0.99761237
0.00051037,0.99751987
0.000510649,0.99743067
0.00051092,0.99734445
0.000511392,0.99719401
0.000511841,0.99705118
0.000512269,0.9969149
0.00051268,0.99678432
0.000513075,0.9966588
0.000513456,0.99653779
0.000513825,0.99642081
0.000514182,0.99630751
0.000514885,0.99608461
0.000515551,0.99587362
0.000516186,0.99567277
0.000516793,0.99548071
0.000517377,0.99529638
0.000517939,0.99511893
0.000518482,0.9949476
0.000519008,0.99478182
0.000520789,0.9942214
0.000522418,0.99371023
0.000523929,0.99323682
0.000525347,0.99279358
0.000526686,0.9923757
0.000527959,0.99197913
0.000529176,0.99160082
0.000530343,0.99123842
0.000533523,0.99025445
0.000536427,0.98935936
0.000539122,0.98853177
0.000541652,0.98775776
0.000545402,0.98661537
0.000548882,0.98556036
0.000552149,0.98457453
0.000555242,0.98364531
0.000556374,0.98330595
0.000557487,0.98297305
0.000558581,0.98264625
0.000559657,0.98232522
0.000560717,0.98200965
0.00056176,0.98169926
0.000562789,0.9813938
0.000563803,0.98109304
0.000571885,0.9787106
0.000579257,0.97655931
0.000586108,0.97457918
0.000592554,0.97273254
0.000594323,0.97222864
0.000596066,0.97173313
0.000597785,0.97124561
0.00059948,0.97076567
0.000601154,0.97029297
0.000602808,0.96982718
0.000604441,0.96936799
0.000606055,0.96891511
