time_ns,front_position (Marshak),front_position (Ablation with varying rho),front_position (2D effects + lam_eff),front_position (Ablation with const rho),front_position (gold loss),front_position (No Marshak),front_position (Vacuum loss),front_position (Be Loss),front_position (Copper Loss)
0.23507507507507508,0.0007651482706990866,0.0007568690327741372,0.0007550157432083237,0.0007642285997446153,0.0007650066251076295,0.0022315920989048415,0.000764962342550994,0.0007650915738815891,0.0007649450354911144
0.2500800800800801,0.0008149206713278126,0.0008062548391595453,0.0008042067081947422,0.0008138766854079328,0.0008147704425666729,0.002310677741901343,0.0008147140887482022,0.0008148592580063746,0.0008147044131626059
0.2650850850850851,0.0008636721997042176,0.0008546090428300835,0.0008523639349667711,0.0008624987456325422,0.000863513573856406,0.0023960157254323752,0.0008634446411440737,0.0008636061155525767,0.0008634431764729193
0.2800900900900901,0.0009016119727935917,0.0008921302037335394,0.0008897108061886233,0.0009003374047011491,0.0009014444706558233,0.002487574380657253,0.0009013600883402864,0.0009015407476980078,0.0009013693552824037
0.29509509509509513,0.0009423399266789806,0.0009322512715055779,0.0009296508440621067,0.0009409119297462857,0.0009421652463999223,0.0025853176490847926,0.0009420640992351529,0.0009422641657653845,0.000942086110677205
0.31010010010010014,0.0009998463598082262,0.0009889902093556304,0.0009861494186068592,0.0009981702101382437,0.0009996666978206446,0.0026895505395903084,0.000999550987590457,0.0009997672629286929,0.0009995846598470075
0.3251051051051051,0.0010624791458274945,0.001050883983277797,0.0010477625845648928,0.0010605404847170948,0.0010622938587556841,0.0028003260476794343,0.0010621636205159276,0.0010623963722786614,0.0010622086153527581
0.3401101101101101,0.0011252268809904121,0.0011129235044100541,0.001109507374379936,0.001123035598897877,0.0011250344391006636,0.002916607059173053,0.0011248875049458464,0.0011251393673748205,0.0011249451308817462
0.3551151151151151,0.0011869549734812139,0.0011739488067343234,0.0011702326328670851,0.0011845164460745888,0.0011867544974780433,0.003038370962730688,0.0011865890743707065,0.0011868620392042287,0.001186660602435538
0.37012012012012013,0.0012296108134028268,0.001215993228306408,0.0012120237788240688,0.0012270163870155627,0.001229401174349671,0.0031655997906489763,0.0012292117775243524,0.001229511288688352,0.0012293018730775013
0.38512512512512515,0.0012776374458773891,0.001263132865781079,0.0012589043477004508,0.0012747644128905417,0.0012774214058170383,0.003298280463079451,0.0012772071491238834,0.0012775684203729942,0.0012773178703293466
0.40013013013013016,0.001355952579846924,0.0013401675134683746,0.0013355697220214003,0.0013525673833379766,0.0013557332185180297,0.003436404877845312,0.001355499302954312,0.0013558772090139623,0.0013556271444232755
0.41513513513513517,0.0014437529588228238,0.0014266621457712312,0.001421613745687882,0.0014398313904706523,0.0014435287197906734,0.0035799698813979834,0.0014432747304387026,0.0014435865758633754,0.0014434193704171024
0.4301401401401401,0.0015319280928461348,0.0015124762482185096,0.0015069468754279002,0.0015275839711620285,0.0015317721471019587,0.0037434311423610593,0.0015314175297728556,0.0015317042263867308,0.0015315820767132472
0.44514514514514514,0.0016185168621271119,0.001599558447990727,0.0015935229042795462,0.0016137129872771643,0.0016183665347851502,0.003910316049032593,0.0016179689795715205,0.0016182608546814708,0.001618155992142267
0.46015015015015015,0.0017034069583056976,0.0016857405958852496,0.0016791841756483268,0.0016979899016172448,0.0017031013058023796,0.004073155823505604,0.001702819460623124,0.0017031247078872363,0.0017030303424604104
0.47515515515515516,0.0017867386908344675,0.0017638913137850941,0.0017568301147875417,0.001780755218332995,0.001786326028353989,0.004232469096776308,0.0017861105387764087,0.0017864490901526333,0.0017864915178084037
