time_ns,front_position_marshak_cm,front_position_gold_loss_cm,front_position_gold_loss_lam_eff_cm,front_position_gold_loss_lam_eff_power_1_cm,front_position_gold_loss_lam_eff_power_2_cm
0.11176176176176177,0.003579786039973194,0.002820226633984773,0.0017536973809499782,0.0016587981349479198,0.0017421361705172824
0.11475475475475476,0.003686491974925919,0.002891962354604017,0.0017901212021270829,0.0016922553663931616,0.001778039611509109
0.11774774774774775,0.003796687166471589,0.002968522377381574,0.0018369907730617673,0.0017305606007560494,0.001820718643733469
0.12074074074074075,0.0039113898635532995,0.0030514616079876326,0.0018863321338254747,0.0017730336140956806,0.0018695328583005007
0.12373373373373374,0.004030331099985893,0.0031419015787800997,0.0019271823633609261,0.0018173908512402223,0.0019164260846069828
0.12672672672672675,0.004153889155072806,0.0032356795513894046,0.001967361883986362,0.001875342211132366,0.00195945549307072
0.12971971971971974,0.0042807373841922455,0.0033267008183646245,0.00200987782091904,0.0019272634291879617,0.0020014238600800285
0.13271271271271273,0.004412429910025071,0.0034190861381855012,0.002056330658445551,0.0019596275997933246,0.0020465139195521113
0.13570570570570573,0.004557487660056713,0.0035247205629630723,0.002113781749518758,0.0020040825114683667,0.0021030645245755544
0.13869869869869872,0.004707720746214878,0.003634961490125173,0.002172295840163308,0.002057123523177721,0.0021610607334600924
0.1416916916916917,0.004851144899604025,0.003745331455637643,0.0022195911101411995,0.0021018244649619613,0.0022078361910913102
0.1446846846846847,0.004993517945078698,0.003850403700520388,0.0022647902712008444,0.0021437305017204993,0.002252386669821263
0.1476776776776777,0.005145899153709333,0.003951665650356365,0.002321174909385323,0.002196162439760858,0.002308096475164468
0.1506706706706707,0.005302530283691761,0.0040556396495014715,0.0023805972151394236,0.0022516794430862963,0.00236689063128796
0.15366366366366369,0.005459803124820889,0.004161084675219326,0.002444680035070814,0.0023043503844599883,0.0024257997300215516
0.15665665665665668,0.0056069668389915495,0.004259264626112578,0.002496068470687536,0.0023448362178194416,0.002475690772457969
0.15964964964964967,0.005751781551601476,0.004356413925505901,0.0025332185456704934,0.00238436765255451,0.002519318278937078
0.16264264264264267,0.005908292579340732,0.00446283643666966,0.0025800572147259278,0.0024474310162319345,0.002569820826954637
0.16563563563563566,0.006070527287603134,0.004572484614730096,0.002633522973473288,0.002514042448465901,0.0026232827753850893
0.16862862862862865,0.006234368246504554,0.0046815428656921485,0.002686661897790352,0.002562579833653611,0.002675178354785585
