time_ns,x_derivation_cm,x_no_marshak_cm,delta_derivation_minus_no_marshak_cm,ratio_derivation_over_no_marshak
3.4478485370051626,0.0809756335468841,0.057144140310578954,0.023831493236305144,1.417041766780999
3.507668770319372,0.08307057118880422,0.0585867283522412,0.02448384283656302,1.4179076648444802
3.567489003633581,0.08514575523665786,0.06002042262712209,0.025125332609535776,1.4186130571860072
3.6273092369477906,0.0872032747867657,0.061446300832687185,0.02575697395407852,1.4191785934227752
3.6871294702619997,0.08924501998013105,0.06286534463866873,0.026379675341462322,1.4196218996823262
3.7469497035762087,0.09127270801821727,0.06427845151008864,0.02699425650812863,1.4199581021937318
3.806769936890418,0.09326331868265554,0.06567814959810202,0.027585169084553524,1.4200052719717713
3.8665901702046273,0.09517922141469196,0.06705274684021478,0.028126474574477173,1.4194678950513682
3.9264104035188363,0.09709700991742096,0.06843035371133042,0.028666656206090532,1.4189172589552759
3.986230636833046,0.09901744163978839,0.0698114032567281,0.02920603838306028,1.4183562716202176
4.046050870147255,0.10094122593052293,0.07119630257033359,0.029744923360189343,1.4177874733144302
4.105871103461464,0.10286902847326272,0.07258543514058047,0.030283593332682254,1.4172130851599944
4.165691336775673,0.10480147520766861,0.07397916293038141,0.030822312277287198,1.4166350504167335
